facet_id,facet_name,category,scoring_type,rubric,batch_id
1,Risktaking,Personality,inferred,"1=No evidence of Risktaking in the conversation; 2=Slight trace of Risktaking; 3=Moderate presence of Risktaking; 4=Clear and notable Risktaking; 5=Very strong, dominant Risktaking",0
28,Comparing alphanumeric data,General,inferred,"1=No evidence of Comparing alphanumeric data in the conversation; 2=Slight trace of Comparing alphanumeric data; 3=Moderate presence of Comparing alphanumeric data; 4=Clear and notable Comparing alphanumeric data; 5=Very strong, dominant Comparing alphanumeric data",2
29,Big-heartedness,General,inferred,"1=No evidence of Big-heartedness in the conversation; 2=Slight trace of Big-heartedness; 3=Moderate presence of Big-heartedness; 4=Clear and notable Big-heartedness; 5=Very strong, dominant Big-heartedness",2
30,Compulsive activities,Behavior,inferred,"1=No evidence of Compulsive activities in the conversation; 2=Slight trace of Compulsive activities; 3=Moderate presence of Compulsive activities; 4=Clear and notable Compulsive activities; 5=Very strong, dominant Compulsive activities",2
31,Disrespect,General,inferred,"1=No evidence of Disrespect in the conversation; 2=Slight trace of Disrespect; 3=Moderate presence of Disrespect; 4=Clear and notable Disrespect; 5=Very strong, dominant Disrespect",3
32,FSH level,Health,external,"1=No evidence of FSH level in the conversation; 2=Slight trace of FSH level; 3=Moderate presence of FSH level; 4=Clear and notable FSH level; 5=Very strong, dominant FSH level",3
33,Self Perspective,General,inferred,"1=No evidence of Self Perspective in the conversation; 2=Slight trace of Self Perspective; 3=Moderate presence of Self Perspective; 4=Clear and notable Self Perspective; 5=Very strong, dominant Self Perspective",3
34,Desperation,General,external,"1=No evidence of Desperation in the conversation; 2=Slight trace of Desperation; 3=Moderate presence of Desperation; 4=Clear and notable Desperation; 5=Very strong, dominant Desperation",3
35,Affiliation Motivation,Social,inferred,"1=No evidence of Affiliation Motivation in the conversation; 2=Slight trace of Affiliation Motivation; 3=Moderate presence of Affiliation Motivation; 4=Clear and notable Affiliation Motivation; 5=Very strong, dominant Affiliation Motivation",3
36,Anatomy knowledge,General,inferred,"1=No evidence of Anatomy knowledge in the conversation; 2=Slight trace of Anatomy knowledge; 3=Moderate presence of Anatomy knowledge; 4=Clear and notable Anatomy knowledge; 5=Very strong, dominant Anatomy knowledge",3
37,Passive-Aggressive,Safety,inferred,"1=No evidence of Passive-Aggressive in the conversation; 2=Slight trace of Passive-Aggressive; 3=Moderate presence of Passive-Aggressive; 4=Clear and notable Passive-Aggressive; 5=Very strong, dominant Passive-Aggressive",3
38,Presence of Spiritual Pain,Spirituality,inferred,"1=No evidence of Presence of Spiritual Pain in the conversation; 2=Slight trace of Presence of Spiritual Pain; 3=Moderate presence of Presence of Spiritual Pain; 4=Clear and notable Presence of Spiritual Pain; 5=Very strong, dominant Presence of Spiritual Pain",3
39,Role of Spirituality in Community Involvement,Social,inferred,"1=No evidence of Role of Spirituality in Community Involvement in the conversation; 2=Slight trace of Role of Spirituality in Community Involvement; 3=Moderate presence of Role of Spirituality in Community Involvement; 4=Clear and notable Role of Spirituality in Community Involvement; 5=Very strong, dominant Role of Spirituality in Community Involvement",3
40,Structure,Language,linguistic,"1=No evidence of Structure in the conversation; 2=Slight trace of Structure; 3=Moderate presence of Structure; 4=Clear and notable Structure; 5=Very strong, dominant Structure",3
41,Eco-tourism trips,Lifestyle,inferred,"1=No evidence of Eco-tourism trips in the conversation; 2=Slight trace of Eco-tourism trips; 3=Moderate presence of Eco-tourism trips; 4=Clear and notable Eco-tourism trips; 5=Very strong, dominant Eco-tourism trips",4
42,Chivalrousness,General,inferred,"1=No evidence of Chivalrousness in the conversation; 2=Slight trace of Chivalrousness; 3=Moderate presence of Chivalrousness; 4=Clear and notable Chivalrousness; 5=Very strong, dominant Chivalrousness",4
43,Pilgrimage participation count,Social,external,"1=No evidence of Pilgrimage participation count in the conversation; 2=Slight trace of Pilgrimage participation count; 3=Moderate presence of Pilgrimage participation count; 4=Clear and notable Pilgrimage participation count; 5=Very strong, dominant Pilgrimage participation count",4
44,Mindfulness facet: Observing,General,inferred,"1=No evidence of Mindfulness facet: Observing in the conversation; 2=Slight trace of Mindfulness facet: Observing; 3=Moderate presence of Mindfulness facet: Observing; 4=Clear and notable Mindfulness facet: Observing; 5=Very strong, dominant Mindfulness facet: Observing",4
45,Submissiveness,General,inferred,"1=No evidence of Submissiveness in the conversation; 2=Slight trace of Submissiveness; 3=Moderate presence of Submissiveness; 4=Clear and notable Submissiveness; 5=Very strong, dominant Submissiveness",4
46,Training-cycle length,General,inferred,"1=No evidence of Training-cycle length in the conversation; 2=Slight trace of Training-cycle length; 3=Moderate presence of Training-cycle length; 4=Clear and notable Training-cycle length; 5=Very strong, dominant Training-cycle length",4
47,Sensitiveness,General,inferred,"1=No evidence of Sensitiveness in the conversation; 2=Slight trace of Sensitiveness; 3=Moderate presence of Sensitiveness; 4=Clear and notable Sensitiveness; 5=Very strong, dominant Sensitiveness",4
48,Negative Affect Frequency,Emotion,external,"1=No evidence of Negative Affect Frequency in the conversation; 2=Slight trace of Negative Affect Frequency; 3=Moderate presence of Negative Affect Frequency; 4=Clear and notable Negative Affect Frequency; 5=Very strong, dominant Negative Affect Frequency",4
49,Innovation and Creativity Components,General,inferred,"1=No evidence of Innovation and Creativity Components in the conversation; 2=Slight trace of Innovation and Creativity Components; 3=Moderate presence of Innovation and Creativity Components; 4=Clear and notable Innovation and Creativity Components; 5=Very strong, dominant Innovation and Creativity Components",4
50,Achievement Motivation,General,inferred,"1=No evidence of Achievement Motivation in the conversation; 2=Slight trace of Achievement Motivation; 3=Moderate presence of Achievement Motivation; 4=Clear and notable Achievement Motivation; 5=Very strong, dominant Achievement Motivation",4
51,Feedback-giving frequency,General,external,"1=No evidence of Feedback-giving frequency in the conversation; 2=Slight trace of Feedback-giving frequency; 3=Moderate presence of Feedback-giving frequency; 4=Clear and notable Feedback-giving frequency; 5=Very strong, dominant Feedback-giving frequency",5
52,Dance-cardio sessions,Lifestyle,external,"1=No evidence of Dance-cardio sessions in the conversation; 2=Slight trace of Dance-cardio sessions; 3=Moderate presence of Dance-cardio sessions; 4=Clear and notable Dance-cardio sessions; 5=Very strong, dominant Dance-cardio sessions",5
53,Enthusiasm,General,inferred,"1=No evidence of Enthusiasm in the conversation; 2=Slight trace of Enthusiasm; 3=Moderate presence of Enthusiasm; 4=Clear and notable Enthusiasm; 5=Very strong, dominant Enthusiasm",5
54,Psychological construct: Social Desirability tendency,Cognition,inferred,"1=No evidence of Psychological construct: Social Desirability tendency in the conversation; 2=Slight trace of Psychological construct: Social Desirability tendency; 3=Moderate presence of Psychological construct: Social Desirability tendency; 4=Clear and notable Psychological construct: Social Desirability tendency; 5=Very strong, dominant Psychological construct: Social Desirability tendency",5
55,Inattentiveness,General,inferred,"1=No evidence of Inattentiveness in the conversation; 2=Slight trace of Inattentiveness; 3=Moderate presence of Inattentiveness; 4=Clear and notable Inattentiveness; 5=Very strong, dominant Inattentiveness",5
56,Unassertiveness,Personality,inferred,"1=No evidence of Unassertiveness in the conversation; 2=Slight trace of Unassertiveness; 3=Moderate presence of Unassertiveness; 4=Clear and notable Unassertiveness; 5=Very strong, dominant Unassertiveness",5
57,Decision-making decisiveness,Behavior,inferred,"1=No evidence of Decision-making decisiveness in the conversation; 2=Slight trace of Decision-making decisiveness; 3=Moderate presence of Decision-making decisiveness; 4=Clear and notable Decision-making decisiveness; 5=Very strong, dominant Decision-making decisiveness",5
58,Sense-of-coherence score,General,external,"1=No evidence of Sense-of-coherence score in the conversation; 2=Slight trace of Sense-of-coherence score; 3=Moderate presence of Sense-of-coherence score; 4=Clear and notable Sense-of-coherence score; 5=Very strong, dominant Sense-of-coherence score",5
59,Justice-mindedness,General,inferred,"1=No evidence of Justice-mindedness in the conversation; 2=Slight trace of Justice-mindedness; 3=Moderate presence of Justice-mindedness; 4=Clear and notable Justice-mindedness; 5=Very strong, dominant Justice-mindedness",5
60,Subscription count,General,external,"1=No evidence of Subscription count in the conversation; 2=Slight trace of Subscription count; 3=Moderate presence of Subscription count; 4=Clear and notable Subscription count; 5=Very strong, dominant Subscription count",5
61,Depression Symptoms,Emotion,inferred,"1=No evidence of Depression Symptoms in the conversation; 2=Slight trace of Depression Symptoms; 3=Moderate presence of Depression Symptoms; 4=Clear and notable Depression Symptoms; 5=Very strong, dominant Depression Symptoms",6
62,Spatial perception,Cognition,inferred,"1=No evidence of Spatial perception in the conversation; 2=Slight trace of Spatial perception; 3=Moderate presence of Spatial perception; 4=Clear and notable Spatial perception; 5=Very strong, dominant Spatial perception",6
63,Brevity,Language,linguistic,"1=No evidence of Brevity in the conversation; 2=Slight trace of Brevity; 3=Moderate presence of Brevity; 4=Clear and notable Brevity; 5=Very strong, dominant Brevity",6
64,Orderliness,General,inferred,"1=No evidence of Orderliness in the conversation; 2=Slight trace of Orderliness; 3=Moderate presence of Orderliness; 4=Clear and notable Orderliness; 5=Very strong, dominant Orderliness",6
65,Multiculturalism,General,inferred,"1=No evidence of Multiculturalism in the conversation; 2=Slight trace of Multiculturalism; 3=Moderate presence of Multiculturalism; 4=Clear and notable Multiculturalism; 5=Very strong, dominant Multiculturalism",6
66,Creative risk-taking tendency,Personality,inferred,"1=No evidence of Creative risk-taking tendency in the conversation; 2=Slight trace of Creative risk-taking tendency; 3=Moderate presence of Creative risk-taking tendency; 4=Clear and notable Creative risk-taking tendency; 5=Very strong, dominant Creative risk-taking tendency",6
67,Inefficiency,General,inferred,"1=No evidence of Inefficiency in the conversation; 2=Slight trace of Inefficiency; 3=Moderate presence of Inefficiency; 4=Clear and notable Inefficiency; 5=Very strong, dominant Inefficiency",6
68,Network basics,General,inferred,"1=No evidence of Network basics in the conversation; 2=Slight trace of Network basics; 3=Moderate presence of Network basics; 4=Clear and notable Network basics; 5=Very strong, dominant Network basics",6
69,Alphabetical filing skills,General,inferred,"1=No evidence of Alphabetical filing skills in the conversation; 2=Slight trace of Alphabetical filing skills; 3=Moderate presence of Alphabetical filing skills; 4=Clear and notable Alphabetical filing skills; 5=Very strong, dominant Alphabetical filing skills",6
70,Work Styles,General,inferred,"1=No evidence of Work Styles in the conversation; 2=Slight trace of Work Styles; 3=Moderate presence of Work Styles; 4=Clear and notable Work Styles; 5=Very strong, dominant Work Styles",6
71,Character strength: Perseverance,General,inferred,"1=No evidence of Character strength: Perseverance in the conversation; 2=Slight trace of Character strength: Perseverance; 3=Moderate presence of Character strength: Perseverance; 4=Clear and notable Character strength: Perseverance; 5=Very strong, dominant Character strength: Perseverance",7
72,Competition,General,inferred,"1=No evidence of Competition in the conversation; 2=Slight trace of Competition; 3=Moderate presence of Competition; 4=Clear and notable Competition; 5=Very strong, dominant Competition",7
73,Logical Sequence Identification,Cognition,inferred,"1=No evidence of Logical Sequence Identification in the conversation; 2=Slight trace of Logical Sequence Identification; 3=Moderate presence of Logical Sequence Identification; 4=Clear and notable Logical Sequence Identification; 5=Very strong, dominant Logical Sequence Identification",7
74,Sustainable-transport usage,Lifestyle,external,"1=No evidence of Sustainable-transport usage in the conversation; 2=Slight trace of Sustainable-transport usage; 3=Moderate presence of Sustainable-transport usage; 4=Clear and notable Sustainable-transport usage; 5=Very strong, dominant Sustainable-transport usage",7
75,Hardworking,Behavior,inferred,"1=No evidence of Hardworking in the conversation; 2=Slight trace of Hardworking; 3=Moderate presence of Hardworking; 4=Clear and notable Hardworking; 5=Very strong, dominant Hardworking",7
76,Emotional-intelligence measure: Impulsiveness,Emotion,inferred,"1=No evidence of Emotional-intelligence measure: Impulsiveness in the conversation; 2=Slight trace of Emotional-intelligence measure: Impulsiveness; 3=Moderate presence of Emotional-intelligence measure: Impulsiveness; 4=Clear and notable Emotional-intelligence measure: Impulsiveness; 5=Very strong, dominant Emotional-intelligence measure: Impulsiveness",7
77,Dishonesty,Safety,inferred,"1=No evidence of Dishonesty in the conversation; 2=Slight trace of Dishonesty; 3=Moderate presence of Dishonesty; 4=Clear and notable Dishonesty; 5=Very strong, dominant Dishonesty",7
78,Preferred epistemology,General,inferred,"1=No evidence of Preferred epistemology in the conversation; 2=Slight trace of Preferred epistemology; 3=Moderate presence of Preferred epistemology; 4=Clear and notable Preferred epistemology; 5=Very strong, dominant Preferred epistemology",7
79,Memory for Sounds,Cognition,inferred,"1=No evidence of Memory for Sounds in the conversation; 2=Slight trace of Memory for Sounds; 3=Moderate presence of Memory for Sounds; 4=Clear and notable Memory for Sounds; 5=Very strong, dominant Memory for Sounds",7
80,Sportsmanship rating,Social,inferred,"1=No evidence of Sportsmanship rating in the conversation; 2=Slight trace of Sportsmanship rating; 3=Moderate presence of Sportsmanship rating; 4=Clear and notable Sportsmanship rating; 5=Very strong, dominant Sportsmanship rating",7
81,Immaturity,General,inferred,"1=No evidence of Immaturity in the conversation; 2=Slight trace of Immaturity; 3=Moderate presence of Immaturity; 4=Clear and notable Immaturity; 5=Very strong, dominant Immaturity",8
82,Health-literacy level,General,external,"1=No evidence of Health-literacy level in the conversation; 2=Slight trace of Health-literacy level; 3=Moderate presence of Health-literacy level; 4=Clear and notable Health-literacy level; 5=Very strong, dominant Health-literacy level",8
83,Estimating Calculations,General,inferred,"1=No evidence of Estimating Calculations in the conversation; 2=Slight trace of Estimating Calculations; 3=Moderate presence of Estimating Calculations; 4=Clear and notable Estimating Calculations; 5=Very strong, dominant Estimating Calculations",8
84,Depression: Feelings of sadness and hopelessness,Emotion,inferred,"1=No evidence of Depression: Feelings of sadness and hopelessness in the conversation; 2=Slight trace of Depression: Feelings of sadness and hopelessness; 3=Moderate presence of Depression: Feelings of sadness and hopelessness; 4=Clear and notable Depression: Feelings of sadness and hopelessness; 5=Very strong, dominant Depression: Feelings of sadness and hopelessness",8
85,Synthesis of information,Cognition,inferred,"1=No evidence of Synthesis of information in the conversation; 2=Slight trace of Synthesis of information; 3=Moderate presence of Synthesis of information; 4=Clear and notable Synthesis of information; 5=Very strong, dominant Synthesis of information",8
86,Leadership Potential,Social,inferred,"1=No evidence of Leadership Potential in the conversation; 2=Slight trace of Leadership Potential; 3=Moderate presence of Leadership Potential; 4=Clear and notable Leadership Potential; 5=Very strong, dominant Leadership Potential",8
87,Ethical standards,General,inferred,"1=No evidence of Ethical standards in the conversation; 2=Slight trace of Ethical standards; 3=Moderate presence of Ethical standards; 4=Clear and notable Ethical standards; 5=Very strong, dominant Ethical standards",8
88,High-spiritedness,General,inferred,"1=No evidence of High-spiritedness in the conversation; 2=Slight trace of High-spiritedness; 3=Moderate presence of High-spiritedness; 4=Clear and notable High-spiritedness; 5=Very strong, dominant High-spiritedness",8
89,Critical reasoning,Cognition,inferred,"1=No evidence of Critical reasoning in the conversation; 2=Slight trace of Critical reasoning; 3=Moderate presence of Critical reasoning; 4=Clear and notable Critical reasoning; 5=Very strong, dominant Critical reasoning",8
90,Sleep-disorder diagnosis,Health,inferred,"1=No evidence of Sleep-disorder diagnosis in the conversation; 2=Slight trace of Sleep-disorder diagnosis; 3=Moderate presence of Sleep-disorder diagnosis; 4=Clear and notable Sleep-disorder diagnosis; 5=Very strong, dominant Sleep-disorder diagnosis",8
91,Listening Skills Subcomponents,General,inferred,"1=No evidence of Listening Skills Subcomponents in the conversation; 2=Slight trace of Listening Skills Subcomponents; 3=Moderate presence of Listening Skills Subcomponents; 4=Clear and notable Listening Skills Subcomponents; 5=Very strong, dominant Listening Skills Subcomponents",9
92,Collaboration,Social,external,"1=No evidence of Collaboration in the conversation; 2=Slight trace of Collaboration; 3=Moderate presence of Collaboration; 4=Clear and notable Collaboration; 5=Very strong, dominant Collaboration",9
93,Precision of Movements,General,inferred,"1=No evidence of Precision of Movements in the conversation; 2=Slight trace of Precision of Movements; 3=Moderate presence of Precision of Movements; 4=Clear and notable Precision of Movements; 5=Very strong, dominant Precision of Movements",9
94,Social Boldness,Social,inferred,"1=No evidence of Social Boldness in the conversation; 2=Slight trace of Social Boldness; 3=Moderate presence of Social Boldness; 4=Clear and notable Social Boldness; 5=Very strong, dominant Social Boldness",9
95,Auditory memory,Cognition,inferred,"1=No evidence of Auditory memory in the conversation; 2=Slight trace of Auditory memory; 3=Moderate presence of Auditory memory; 4=Clear and notable Auditory memory; 5=Very strong, dominant Auditory memory",9
96,Psychomotor Ability Subcomponents,General,inferred,"1=No evidence of Psychomotor Ability Subcomponents in the conversation; 2=Slight trace of Psychomotor Ability Subcomponents; 3=Moderate presence of Psychomotor Ability Subcomponents; 4=Clear and notable Psychomotor Ability Subcomponents; 5=Very strong, dominant Psychomotor Ability Subcomponents",9
97,Organized lifestyle,General,inferred,"1=No evidence of Organized lifestyle in the conversation; 2=Slight trace of Organized lifestyle; 3=Moderate presence of Organized lifestyle; 4=Clear and notable Organized lifestyle; 5=Very strong, dominant Organized lifestyle",9
98,Skill-endorsements count,General,external,"1=No evidence of Skill-endorsements count in the conversation; 2=Slight trace of Skill-endorsements count; 3=Moderate presence of Skill-endorsements count; 4=Clear and notable Skill-endorsements count; 5=Very strong, dominant Skill-endorsements count",9
99,Mysteriousness,General,inferred,"1=No evidence of Mysteriousness in the conversation; 2=Slight trace of Mysteriousness; 3=Moderate presence of Mysteriousness; 4=Clear and notable Mysteriousness; 5=Very strong, dominant Mysteriousness",9
100,Cultural Identity,General,inferred,"1=No evidence of Cultural Identity in the conversation; 2=Slight trace of Cultural Identity; 3=Moderate presence of Cultural Identity; 4=Clear and notable Cultural Identity; 5=Very strong, dominant Cultural Identity",9
101,Intrinsic Motivation,General,inferred,"1=No evidence of Intrinsic Motivation in the conversation; 2=Slight trace of Intrinsic Motivation; 3=Moderate presence of Intrinsic Motivation; 4=Clear and notable Intrinsic Motivation; 5=Very strong, dominant Intrinsic Motivation",10
102,Impartial-mindedness,General,inferred,"1=No evidence of Impartial-mindedness in the conversation; 2=Slight trace of Impartial-mindedness; 3=Moderate presence of Impartial-mindedness; 4=Clear and notable Impartial-mindedness; 5=Very strong, dominant Impartial-mindedness",10
103,Burnout Symptoms,Health,inferred,"1=No evidence of Burnout Symptoms in the conversation; 2=Slight trace of Burnout Symptoms; 3=Moderate presence of Burnout Symptoms; 4=Clear and notable Burnout Symptoms; 5=Very strong, dominant Burnout Symptoms",10
104,Holiness,General,inferred,"1=No evidence of Holiness in the conversation; 2=Slight trace of Holiness; 3=Moderate presence of Holiness; 4=Clear and notable Holiness; 5=Very strong, dominant Holiness",10
105,Selfcontrol,General,inferred,"1=No evidence of Selfcontrol in the conversation; 2=Slight trace of Selfcontrol; 3=Moderate presence of Selfcontrol; 4=Clear and notable Selfcontrol; 5=Very strong, dominant Selfcontrol",10
106,SelfDirectedness,General,inferred,"1=No evidence of SelfDirectedness in the conversation; 2=Slight trace of SelfDirectedness; 3=Moderate presence of SelfDirectedness; 4=Clear and notable SelfDirectedness; 5=Very strong, dominant SelfDirectedness",10
107,Encouraging participation,Social,inferred,"1=No evidence of Encouraging participation in the conversation; 2=Slight trace of Encouraging participation; 3=Moderate presence of Encouraging participation; 4=Clear and notable Encouraging participation; 5=Very strong, dominant Encouraging participation",10
108,Impracticalness,General,inferred,"1=No evidence of Impracticalness in the conversation; 2=Slight trace of Impracticalness; 3=Moderate presence of Impracticalness; 4=Clear and notable Impracticalness; 5=Very strong, dominant Impracticalness",10
109,Meeting Deadlines,Behavior,inferred,"1=No evidence of Meeting Deadlines in the conversation; 2=Slight trace of Meeting Deadlines; 3=Moderate presence of Meeting Deadlines; 4=Clear and notable Meeting Deadlines; 5=Very strong, dominant Meeting Deadlines",10
110,Data Analysis,General,inferred,"1=No evidence of Data Analysis in the conversation; 2=Slight trace of Data Analysis; 3=Moderate presence of Data Analysis; 4=Clear and notable Data Analysis; 5=Very strong, dominant Data Analysis",10
111,Social Interaction Skills,Social,inferred,"1=No evidence of Social Interaction Skills in the conversation; 2=Slight trace of Social Interaction Skills; 3=Moderate presence of Social Interaction Skills; 4=Clear and notable Social Interaction Skills; 5=Very strong, dominant Social Interaction Skills",11
112,Psychoticism,Personality,inferred,"1=No evidence of Psychoticism in the conversation; 2=Slight trace of Psychoticism; 3=Moderate presence of Psychoticism; 4=Clear and notable Psychoticism; 5=Very strong, dominant Psychoticism",11
113,Ethical leadership rating,Social,inferred,"1=No evidence of Ethical leadership rating in the conversation; 2=Slight trace of Ethical leadership rating; 3=Moderate presence of Ethical leadership rating; 4=Clear and notable Ethical leadership rating; 5=Very strong, dominant Ethical leadership rating",11
114,Slothfulness,Behavior,inferred,"1=No evidence of Slothfulness in the conversation; 2=Slight trace of Slothfulness; 3=Moderate presence of Slothfulness; 4=Clear and notable Slothfulness; 5=Very strong, dominant Slothfulness",11
115,Happiness,Emotion,inferred,"1=No evidence of Happiness in the conversation; 2=Slight trace of Happiness; 3=Moderate presence of Happiness; 4=Clear and notable Happiness; 5=Very strong, dominant Happiness",11
116,Contentment Levels,Emotion,external,"1=No evidence of Contentment Levels in the conversation; 2=Slight trace of Contentment Levels; 3=Moderate presence of Contentment Levels; 4=Clear and notable Contentment Levels; 5=Very strong, dominant Contentment Levels",11
117,Neuroticism,Personality,inferred,"1=No evidence of Neuroticism in the conversation; 2=Slight trace of Neuroticism; 3=Moderate presence of Neuroticism; 4=Clear and notable Neuroticism; 5=Very strong, dominant Neuroticism",11
118,Desire for excellence,General,inferred,"1=No evidence of Desire for excellence in the conversation; 2=Slight trace of Desire for excellence; 3=Moderate presence of Desire for excellence; 4=Clear and notable Desire for excellence; 5=Very strong, dominant Desire for excellence",11
119,Perceiving,General,inferred,"1=No evidence of Perceiving in the conversation; 2=Slight trace of Perceiving; 3=Moderate presence of Perceiving; 4=Clear and notable Perceiving; 5=Very strong, dominant Perceiving",11
120,Liberalism,General,inferred,"1=No evidence of Liberalism in the conversation; 2=Slight trace of Liberalism; 3=Moderate presence of Liberalism; 4=Clear and notable Liberalism; 5=Very strong, dominant Liberalism",11
